event_id,news_id,content,is_source,DOP,publisher,title,eventid,eventname,topic,sentence,words,sourceid,DLA,SLNS
SPTE001,SPTE001SRC003,"Dangal: Baba Ramdev to wrestle it out with Russian Olympic medallist Dangal: Baba Ramdev to wrestle it out with Russian Olympic medallist Currently reading: Dangal: Baba Ramdev to wrestle it out with Russian Olympic medallist #Baba Ramdev , #Wrestling   14:24:22] Yoga guru Ramdev will challenge the 2008 Olympic   for a friendly wrestling bout ahead of the second semifinal match between Mumbai Maharathi and NCR Punjab Royals, in the Pro Wrestling League. 
The eye turning match is scheduled at 6:30 pm today in New Delhi's Indira Gandhi Indoor Stadium. 
“I have fought bouts with national level wrestlers. But playing against an internationally renowned player will be more exciting. You will witness the real power of yoga in this match,” said Ramdev. 
Andrey is   for beating   at the Beijing Olympics. As Andrey reached the finals   
Before the 2nd semifinal on Wednesday, these two will play a friendly bout. Baba Ramdev says he does stamina building exercises daily and whenever he gets time, he visits akhara to study wrestling. 
Patanjali Ayurved Limited, a company owned by Baba Ramdev, sponsors the Pro Wrestling League. Though the Ukraine wrestler said he was surprised with the offer, Andrey perhaps didn’t have much of a choice but to accept the challenge. 
Sushil Kumar has already had such an offer from the yoga guru last year on the 20th   Haridwar. Sushil had lauded the stamina and energy of the yoga guru and stated that he could have become a world-class wrestler had he taken up the sport. X",True,00/00/0000,www.indiatvnews.com,Dangal-Baba Ramdev to wrestle it out with Russian Olympic medallist,SPTE001,Baba Ramdev wrestling challenge,SPORTS,13,269,,,
SPTE001,SPTE001SRC001,"Even as the Pro Wrestling League continues, what draws the most interest is a match featuring none other than Baba Ramdev himself! 
Yes, it's true. The man has challenged 2008 Olympic silver medallist Andrey Stadnik for a friendly ‘dangal’. 

The Ukrainian said he was surprised with the offer but perhaps didn’t have much of a choice but to accept the challenge. 
Well, it will be interesting to see what happens. One must remember that Baba Ramdev is an extremely fit man. 
",True,00/00/0000, Indiatimes.com,Baba Ramdev Calls Out Olympic Wrestling Medallist And Challenges Him To A 'Dangal'!,SPTE001,Baba Ramdev wrestling challenge,SPORTS,6,92,,,
SPTE001,SPTE001SRC002,"
In the ongoing Pro Wrestling League, Haryana Hammers and Jaipur Ninjas will play the first semifinal match in Delhi on Wednesday. 
However, Baba Ramdev’s challenge to 2008 Olympic silver medalist Andrey Stadnik for a wrestling bout has become the talk of the town. Andrey is well remembered by Indian wrestling enthusiasts as he had defeated Indian star wrestler Sushil Kumar in the Beijing Olympic, and as Andrey reached the finals. 
It gave Sushil an opportunity to play in repechage and win a bronze medal. 
Before the 2nd semifinal on Wednesday, these two will play a friendly bout. Baba Ramdev says, he exercises stamina building activities daily and whenever he gets time, he visits akhara to study wrestling. 
“I have fought bouts with national level wrestlers. But playing against an internationally renowned player will be more exciting. You will witness the real power of Yoga in this match,” he said. 
Meanwhile, Andrey was surprised when he heard about the challenge. But after getting knowledge of Baba Ramdev’s preparations, he believes that he must fight with all his strength. 
This is not the first time, Baba Ramdev has shown interest in friendly bouts. Last year, on the occasion of 20th anniversary of their Ashram in Haridwar, Baba had challenged double Olympic medalist Sushil Kumar. 
The international wrestler was impressed with the energy of yoga guru and said, he would have been one of the best wrestler in India, if he had taken over the sport. ",True,00/00/0000,www.news18.com,Baba Ramdev Challenges Beijing Olympic Medallist for Wrestling Bout - News18,SPTE001,Baba Ramdev wrestling challenge,SPORTS,14,267,,,
SPTE001,SPTE001TGT011," Yoga guru Baba Ramdev displayed his wrestling skills as he went head-to-head with 2008 Olympic silver medallist Andriy Stadnik in a promotional bout of the Patanjali Powervita Pro Wrestling League (PWL) here on Wednesday. Sporting his typical saffron langot, Ramdev came out on top 12-0 over Stadnik, who is well remembered by Indian wrestling enthusiasts as he had defeated Indian star wrestler Sushil Kumar in the Beijing Olympics. As the Ukrainian reached the final, it gave Sushil an opportunity to play in repechage and win a bronze medal. Ramdev walked onto the mat and, before the bout began, exhibited his firebrand yoga moves before proceeding to his friendly battle with Stadnik, 34, a former European champion. Ramdev showed wrestling acumen as he pulled out the best of technical moves such as take-down, one-leg hold and pinning down. Since it was a promotional bout, Stadnik responded by allowing Ramdev to have his way, as did the referees. After nearly two minutes, Standnik surrendered. The bout took place during the second semi-final between Punjab Royals and Mumbai Maharathi. PWL is sponsored by Patanjali Ayurved Limited, owned by Ramdev. Ramdev noted that people should do wrestling as it can help in stamina building. He also felt that wrestling has the credentials to become world's most popular sport. This was not the first time that Baba Ramdev has shown interest in friendly wrestling bouts. Last year, on the occasion of the 20th anniversary of their Ashram in Haridwar, Baba had challenged India's only individual two-time Olympic wrestling medallist and former world champion Sushil. — ",False,00/00/0000,www.tribuneindia.com,,"
SPTE001",Baba Ramdev wrestling challenge,SPORTS,14,279,"SPTE001SRC001,SPTE001SRC002,SPTE001SRC003",Novel,66.07
SPTE001,SPTE001TGT002,"  
Yoga guru Baba Ramdev displayed his wrestling skills as he went head-to-head with 2008 Olympic silver medalist Andriy Stadnik in a promotional bout of the 2017 Pro Wrestling League (PWL) in New Delhi on Wednesday. 
Sporting his typical saffron langot , Ramdev came out on top 12-0 over Stadnik, who is well remembered by Indian wrestling enthusiasts as he had defeated Indian star wrestler Sushil Kumar in the Beijing Olympics. As the Ukrainian reached the final, it gave Sushil an opportunity to play in repechage and win a bronze medal. 
Ramdev showed no sign of nervousness and exhibited his yoga moves before proceeding to his friendly battle with Andriy Stadnik, a former European champion. 
Ramdev showed wrestling acumen as he pulled out the best of technical moves such as take-down, one-leg hold and pinning down. Since it was a promotional bout, Stadnik responded by allowing Ramdev to have his way, as did the referees. After nearly two minutes, Standnik surrendered. 
The bout took place during the second semi-final between Punjab Royals and Mumbai Maharathi. 
This was not the first time that Baba Ramdev has shown interest in friendly wrestling bouts. Last year, on the occasion of the 20th anniversary of their Ashram in Haridwar, Baba had challenged India’s only individual two-time Olympic wrestling medallist and former world champion Sushil Kumar. Baba Ramdev beats olympic medalist in PWL promotional event   u4uvoice ",False,00/00/0000,u4uvoice.com,,"
SPTE001",Baba Ramdev wrestling challenge,SPORTS,11,243,"SPTE001SRC001,SPTE001SRC002,SPTE001SRC003",Novel,54.55
SPTE001,SPTE001TGT001,"Cloud Baba Ramdev Beats Olympian Wrestler Andrey Stadnik This is not the first time; Baba Ramdev has shown interest in an exhibition bout. Last year, on the occasion of 20th anniversary of their Ashram in Haridwar, Baba had challenged double Olympic medalist Sushil Kumar ? SC Issues Notice To Centre On Ramdevâs Eviction 
Baba Ramdev stunned the audiences yet again! He wrestled with the Olympian wrestler Andrey Stadnik and beat him to a score of 12-0 during the semi-final match between Mumbai Maharathis and NCR Punjab Royals. The Patanjali Powervita Pro Wrestling League Season -2 is being held at the KD Jadhav indoor stadium in the capital witnessed a one of its kind bout today between the Yoga Guru and Olympic wrestler. Baba Ramdev before the beginning of the match showed some of his yoga asnaas and enthralled the spectators. Baba Ramdev on the occasion said that âAndrey is a class apart wrestler and I really enjoyed this wrestling session with him. I hope very soon wrestling as a sport will take over the world and will become much more recognized, with Pro wrestling league taking it to higher levels.' He further added that he exercises stamina building activities daily and whenever he gets time also visits akhaara to study wrestling. The international wrestler Andrey was impressed and surprised with the energy of yoga guru and said, ""I had my bout against a very strong opponent. His energy is amazing. I am also glad that he is supporting PWL. Its a great move made by himâ?. This is not the first time; Baba Ramdev has shown interest in an exhibition bout. Last year, on the occasion of 20th anniversary of their Ashram in Haridwar, Baba had challenged double Olympic medalist Sushil Kumar. Also spotted in the NCR Punjab Royalâs stand was Bobby Deol who had once again come to support his fatherâs co-owned team for the semi-final match. He rooted loudly for the team and ensured their entry into the finals. ",False,00/00/0000,businessworld.in,,"
SPTE001",Baba Ramdev wrestling challenge,SPORTS,16,353,"SPTE001SRC001,SPTE001SRC002,SPTE001SRC003",Novel,79.41
SPTE001,SPTE001TGT012,"
After winning the friendly bout against Olympic silver medallist Andrey Stadnik, the yoga guru, clad in his saffron langot , chanted, 'Bharat mata ki jai.! Vande Matram!' 
Y oga guru Baba Ramdev on Wednesday showed his wrestling prowess as he defeated 2008 Beijing Olympic silver medalist Andrey Stadnik in a promotional bout of the 2017 Pro Wrestling League in New Delhi. Ramdev, who performed 'Surya Namaskar' before starting his bout, defeated Stadnik 12-0. Sporting his saffron langot , the yoga guru chanted, ""Bharat mata ki jai.! Vande Matram!"" after winning the bout. Stadnik is well remembered by Indian wrestling enthusiasts as he had defeated Indian wrestler Sushil Kumar to clinch a silver medal in the Men's freestyle 66kg event at the 2008 Summer Olympics in Beijing. Earlier, on the occasion of 20th anniversary of his ashram in Haridwar in 2016., Ramdev had challenged Sushil Kumar. 
",False,00/00/0000,www.rediff.com,,"
SPTE001",Baba Ramdev wrestling challenge,SPORTS,9,162,"SPTE001SRC001,SPTE001SRC002,SPTE001SRC003",Novel,77.78
SPTE001,SPTE001TGT007," Yoga guru Baba Ramdev displayed his wrestling skills as he went head-to-head with 2008 Olympic silver medalist Andriy Stadnik in a promotional bout of the Patanjali Powervita Pro Wrestling League (PWL) here on Wednesday. 
Sporting his typical saffron langot, Ramdev came out on top 12-0 over Stadnik, who is well remembered by Indian wrestling enthusiasts as he had defeated Indian star wrestler Sushil Kumar in the Beijing Olympics. As the Ukrainian reached the final, it gave Sushil an opportunity to play in repechage and win a bronze medal. 
Ramdev walked onto the mat and, before the bout began, exhibited his firebrand yoga moves before proceeding to his friendly battle with Stadnik, 34, a former European champion. 
Ramdev showed wrestling acumen as he pulled out the best of technical moves such as take-down, one-leg hold and pinning down. 
Since it was a promotional bout, Stadnik responded by allowing Ramdev to have his way, as did the referees. After nearly two minutes, Standnik surrendered. 
The bout took place during the second semi-final between Punjab Royals and Mumbai Maharathi. PWL is sponsored by Patanjali Ayurved Limited, owned by Ramdev. 
Ramdev noted that people should do wrestling as it can help in stamina building. 
He also felt that wrestling has the credentials to become world’s most popular sport. 
This was not the first time that Baba Ramdev has shown interest in friendly wrestling bouts. Last year, on the occasion of the 20th anniversary of their Ashram in Haridwar, Baba had challenged India’s only individual two-time Olympic wrestling medallist and former world champion Sushil. 
",False,00/00/0000,www.siasat.com,,"
SPTE001",Baba Ramdev wrestling challenge,SPORTS,14,283,"SPTE001SRC001,SPTE001SRC002,SPTE001SRC003",Novel,69.23
SPTE001,SPTE001TGT014,"Yoga guru Baba Ramdev displayed his wrestling skills as he went head-to-head with 2008 Olympic silver medalist Andriy Stadnik in a promotional bout of the Patanjali Powervita Pro Wrestling League (PWL) here on Wednesday. 
Sporting his typical saffron langot, Ramdev came out on top 12-0 over Stadnik, who is well remembered by Indian wrestling enthusiasts as he had defeated Indian star wrestler Sushil Kumar in the Beijing Olympics. As the Ukrainian reached the final, it gave Sushil an opportunity to play in repechage and win a bronze medal. 
Ramdev walked onto the mat and, before the bout began, exhibited his firebrand yoga moves before proceeding to his friendly battle with Stadnik, 34, a former European champion. 
Ramdev showed wrestling acumen as he pulled out the best of technical moves such as take-down, one-leg hold and pinning down. 
Since it was a promotional bout, Stadnik responded by allowing Ramdev to have his way, as did the referees. After nearly two minutes, Standnik surrendered. 
The bout took place during the second semi-final between Punjab Royals and Mumbai Maharathi. PWL is sponsored by Patanjali Ayurved Limited, owned by Ramdev. 
Ramdev noted that people should do wrestling as it can help in stamina building. 
He also felt that wrestling has the credentials to become world's most popular sport. 
This was not the first time that Baba Ramdev has shown interest in friendly wrestling bouts. Last year, on the occasion of the 20th anniversary of their Ashram in Haridwar, Baba had challenged India's only individual two-time Olympic wrestling medallist and former world champion Sushil.",False,00/00/0000,www.news18.com,,"
SPTE001",Baba Ramdev wrestling challenge,SPORTS,13,277,"SPTE001SRC001,SPTE001SRC002,SPTE001SRC003",Novel,71.15
SPTE001,SPTE001TGT016," Yoga guru Baba Ramdev displayed his wrestling skills as he went head-to-head with 2008 Olympic silver medalist Andriy Stadnik in a promotional bout of the Patanjali Powervita Pro Wrestling League (PWL) on Wednesday. 

Sporting his typical saffron langot, Ramdev came out on top 12-0 over Stadnik, who is well remembered by Indian wrestling enthusiasts as he had defeated Indian star wrestler Sushil Kumar in the Beijing Olympics. As the Ukrainian reached the final, it gave Sushil an opportunity to play in repechage and win a bronze medal. 

Ramdev walked onto the mat and, before the bout began, exhibited his firebrand yoga moves before proceeding to his friendly battle with Stadnik, 34, a former European champion. 

Ramdev came out on top 12-0 over Stadnik. (TOI Photo) 

Ramdev showed wrestling acumen as he pulled out the best of technical moves such as take-down, one-leg hold and pinning down. 

Since it was a promotional bout, Stadnik responded by allowing Ramdev to have his way, as did the referees. After nearly two minutes, Standnik surrendered. 

The bout took place during the second semi-final between Punjab Royals and Mumbai Maharathi . PWL is sponsored by Patanjali Ayurved Limited, owned by Ramdev. 

This was not the first time that Baba Ramdev has shown interest in friendly wrestling bouts. 
Ramdev noted that people should do wrestling as it can help in stamina building. 

He also felt that wrestling has the credentials to become world's most popular sport. 

This was not the first time that Baba Ramdev has shown interest in friendly wrestling bouts. Last year, on the occasion of the 20th anniversary of their Ashram in Haridwar, Baba had challenged India's only individual two-time Olympic wrestling medallist and former world champion Sushil. 

Standnik surrendered after nearly two minutes. ",False,00/00/0000,src,,"
SPTE001",Baba Ramdev wrestling challenge,SPORTS,16,310,"SPTE001SRC001,SPTE001SRC002,SPTE001SRC003",Novel,67.19
