embedding_0,embedding_1,embedding_2,embedding_3,embedding_4,embedding_5,embedding_6,embedding_7,embedding_8,embedding_9,embedding_10,embedding_11,embedding_12,embedding_13,embedding_14,embedding_15,embedding_16,embedding_17,embedding_18,embedding_19
-5.8258376,1.2716566,-0.92896384,2.726307,-0.0660302,-2.2876244,-3.7275112,-1.5232449,-0.3486111,2.7035222,-1.5073941,-2.2504723,-3.3105667,-1.2516884,0.15403903,2.0734885,2.7870083,-1.5109828,0.17203313,-0.1882177
-0.6282688,0.1996061,0.21235035,1.223839,-0.095094964,-1.2067779,-2.2540956,0.76270795,-0.7514317,-0.0045192204,-1.2917233,-0.039157666,-1.044439,-1.6605511,0.06361795,2.0298872,1.3011727,-0.23629817,-1.245491,0.7573255
-4.6789956,2.6136153,0.4432772,1.5682695,0.5339693,-2.2731566,-1.8015363,-0.68410397,-0.8384116,2.8882737,-1.3575963,-2.5966768,-3.8399057,-1.0804431,0.04164562,2.6442163,2.9433863,-0.8936734,-1.2002717,-0.9210718
1.4927988,5.982592,3.1535368,3.3664184,-7.0460887,-3.143244,-2.5008848,3.081038,0.7963844,0.99877423,-3.5588703,-5.1668816,-5.12474,-8.68614,2.1964679,3.6936207,-0.8864063,-3.6064734,-1.1922768,4.115373
0.06211194,2.7569141,-0.37011918,0.50824827,-3.2006192,-2.290276,0.6809375,1.2458413,0.028780535,-0.5746809,-2.9177895,-4.0794225,-4.507173,-4.2596793,3.0219495,4.0779223,-0.2933811,-3.6287234,-2.074586,3.5114856
-0.43573818,1.3949317,0.40824303,0.6330817,-2.739678,-1.554083,0.40621194,0.04482456,-1.3965735,-0.3537926,-2.8302987,-2.7802308,-2.5220537,-1.9674608,1.6395197,1.3120437,0.07344315,-0.34006688,-1.89282,2.2353501
0.27473158,-1.7833604,-2.022491,0.5575446,-1.5693866,-1.009411,0.12795468,1.322151,-0.49257722,0.9360228,-3.856987,-1.0512009,1.9184825,-1.8779273,0.38902086,0.96694195,-1.3306404,-2.955611,-2.0683503,-1.1412725
-0.5986668,-0.6537235,-2.288242,0.8329697,-1.8706815,-1.4835293,-1.3045943,1.2383834,0.5313062,1.4700352,-4.289828,-0.22473721,3.47654,-1.4476715,0.72458655,1.645474,-1.0129058,-1.6864936,-2.2310932,-1.5237594
-0.07781603,-1.635659,-2.0689766,0.80109084,-1.303038,-1.1439793,-0.71277684,2.0035655,-0.1759485,1.1163778,-4.7432075,-1.6895502,3.1912878,-2.0695992,0.27142194,0.83509713,-1.7768753,-2.5221145,-2.0299506,-1.599524
0.80908436,-0.5094564,-0.18077435,-0.014154807,-1.2494645,0.9833526,-1.9885039,1.949079,-1.5893716,-0.25054047,-0.50127846,-0.9988963,3.8151782,0.9753078,2.836739,0.2947905,1.6471232,-1.4455233,-1.1189301,0.4100151
0.15269257,-0.258418,0.56018317,0.69858426,-1.6673669,0.2177043,-1.5542617,2.6942225,-0.99210507,-1.0706313,-0.8793964,-4.012263,3.6999676,1.0929149,2.5422733,1.7809057,2.4767973,1.3989576,-1.0599594,1.2242272
1.306672,-1.1662782,0.7162898,1.0079432,-1.5104187,1.1036102,-3.21028,5.0032554,-1.4613026,-0.3425248,-1.4286981,0.15369298,3.47875,2.1520789,2.3908155,-1.622305,0.05320426,-0.8500878,-1.4631243,-1.2061696
2.1729288,-0.21754487,2.8758478,1.5522677,0.14626388,0.2337135,2.500487,-1.4278908,-2.0307662,1.4944336,-4.674968,-1.719147,-1.063055,0.9319051,0.42698666,-2.2390277,1.4669416,-3.3276684,-0.16283643,-4.0287075
-2.4158244,2.723671,-2.7840998,-2.6780093,-0.3624629,-0.81787866,-0.5318601,-2.1432576,1.4321258,3.8070154,-0.11347508,-3.6977997,-1.0885699,-1.3836857,2.3780622,-1.7553946,2.609398,-3.666705,1.406469,0.24527459
0.05173997,-0.8596874,0.94658303,-0.47096047,-0.35589007,-0.16105902,0.90670526,-0.56130606,-1.5904955,0.5912806,-0.83000875,-3.1493971,-0.83433324,-1.2699547,1.9998277,-0.21841215,0.14857233,0.4302646,-0.5907135,-1.8795683
0.80358016,2.7918565,-1.1904823,0.9011698,1.6428444,1.1430923,-2.2422154,5.1573057,-3.8860343,-0.5764376,-5.379044,0.057346556,1.3170984,-3.9403374,2.215897,1.0424304,-0.6093485,-0.63480085,-3.2772927,-3.5069015
0.85935897,2.6480389,-1.3483516,0.7374733,1.8560655,1.340402,-2.5823977,5.271871,-3.7797306,-0.57763225,-5.242481,-0.20533401,1.1294179,-3.8625684,2.366443,0.97757643,-0.30024877,-0.460603,-3.4558172,-3.8016865
0.56647694,2.6822946,-1.3788658,0.8726901,1.679582,1.2548956,-2.3795695,5.043181,-3.906021,-0.70679635,-5.47033,-0.11752832,1.3077759,-4.00935,2.1207807,1.0018172,-0.6898926,-0.8198143,-3.2979765,-3.6085181
3.3138535,-3.1784704,-4.2490034,-0.24983205,-4.5526576,0.11722927,-5.3480563,0.774527,0.49670035,0.70148665,-1.5380341,-0.23556422,-1.4622948,0.649804,7.536871,4.2558804,-4.1581445,-0.012310891,-1.2009689,0.31663007
1.9691839,-3.0851274,-2.1724417,1.6147968,-3.870118,-0.5439935,-2.6007202,1.1281408,-0.5467389,1.0852833,-0.22507358,0.66328996,-0.57418245,-1.0579705,4.3572736,0.1487522,-0.5486299,0.74972826,-0.21100834,-0.6620127
2.7583706,-1.7058423,-4.8226905,1.0147202,-5.055049,0.7439697,-3.504548,0.5358419,-1.766133,0.2246041,1.0408423,-0.3042087,-1.1922925,-1.4992253,7.358101,1.2393472,-2.435498,0.84105027,-1.4325075,0.9422808
1.5531784,-1.3997059,-3.306182,3.4109383,-1.3192283,1.4146957,0.52790105,-1.710431,-0.54361534,2.1407385,-3.430466,-1.2837435,-0.5326268,-0.8914178,2.621015,2.4705472,-0.6566343,-2.68881,1.4828103,-1.7903376
1.562877,-1.7918496,-3.2692268,2.740656,-0.6228254,1.0677124,-0.02028869,-0.6596144,0.07162604,1.5898759,-3.1973403,-0.9786769,-0.7832244,-0.40514156,1.1372873,1.8240167,-0.844191,-2.4498749,1.2815704,-1.7780869
1.8131322,-1.4309634,-3.4757657,3.356357,-1.2286694,1.5484657,0.32759184,-1.4075316,-0.24317266,2.1074398,-3.987192,-1.1286002,-0.71764684,-1.1184626,2.6082978,2.4731376,-0.6378672,-2.851495,1.4505535,-1.7508432
2.1080024,5.0964713,-3.7199905,1.0511076,0.34154448,-1.7062258,-6.165569,0.51589316,-3.6667516,1.1662233,-3.078592,0.9143189,-2.141612,-2.8763525,2.7555225,-0.39015004,1.6723982,-0.9343435,-0.09154315,-3.2746394
1.4004713,3.8223183,-4.7158256,2.003563,0.7998023,-0.24800324,-9.124488,-1.3657932,-4.610826,0.2855116,-3.308178,1.4029158,-2.743989,-3.6435533,3.674762,-0.40889585,2.0989575,-0.95428085,-0.047999248,-3.9433355
1.7050617,4.9211855,-3.526247,1.0563837,0.39929932,-1.4687566,-6.3242335,0.5567177,-3.4403214,1.085108,-2.7366183,0.90781665,-1.9277296,-2.9009378,2.6709478,-0.36626562,1.7478422,-0.86576396,-0.12243181,-2.7719812
1.3867683,3.1186686,-4.9374337,0.78899,-5.2402925,-0.6923715,0.37233615,-1.1226851,1.4793317,3.4024801,-5.0856037,-1.7224206,-4.9518676,-1.6875811,6.346461,-0.24649972,1.4736388,-3.626192,1.0597751,-0.76810956
1.2805816,2.7643895,-4.9916296,0.5486713,-4.1840267,-0.74246085,0.39334396,-0.5572091,0.98566157,3.1031451,-6.2839513,-2.5087767,-5.7130613,-2.0531158,6.177459,-0.88392,0.32637239,-3.4846566,0.47068766,-0.7492103
1.1681035,2.9929552,-5.319453,0.39028925,-5.275143,-0.5379005,0.585841,-0.99508697,1.1453485,3.9864912,-4.9549136,-2.2195113,-5.7698765,-1.5792373,6.375028,-0.2631733,1.5493563,-3.4306169,0.6894664,-1.0268697
-6.816715,2.0628755,-1.4962171,0.37711322,-0.35986352,-2.0585814,-3.841167,1.3237338,1.0214118,4.1862164,-6.243742,-1.8181852,0.29176098,-2.2065299,6.9166408,0.4027937,1.9222453,-0.8014842,2.0316164,-1.4196497
-7.586244,1.9365897,-1.5191332,0.44033682,-0.1403821,-1.7533627,-3.5001972,1.387144,0.88268965,4.0718007,-6.0736413,-1.9673562,0.5542573,-2.2812033,6.8304543,0.5632885,1.9522737,-0.6968021,1.6656079,-1.4145403
